Date,High,Low,Open,Close,Volume,Adj Close
2014-04-08,14740.099609375,14605.3095703125,14715.7998046875,14606.8798828125,130400,14606.8798828125
2014-04-09,14502.01953125,14279.33984375,14436.0498046875,14299.6904296875,162500,14299.6904296875
2014-04-10,14513.1396484375,14234.4501953125,14484.5400390625,14300.1201171875,128900,14300.1201171875
2014-04-11,14065.9697265625,13885.1103515625,14027.7998046875,13960.0498046875,174700,13960.0498046875
2014-04-14,14008.2900390625,13885.2197265625,13887.23046875,13910.16015625,121000,13910.16015625
2014-04-15,14096.8603515625,13969.169921875,14068.75,13996.8095703125,120800,13996.8095703125
2014-04-16,14420.2998046875,14125.58984375,14126.8701171875,14417.6796875,143600,14417.6796875
2014-04-17,14500.66015625,14351.849609375,14395.9501953125,14417.5302734375,127900,14417.5302734375
2014-04-18,14536.669921875,14442.740234375,14489.3701171875,14516.26953125,78200,14516.26953125
2014-04-21,14649.5,14503.169921875,14549.4501953125,14512.3798828125,95300,14512.3798828125
2014-04-22,14604.2998046875,14388.76953125,14586.2900390625,14388.76953125,99300,14388.76953125
2014-04-23,14546.26953125,14459.2900390625,14480.41015625,14546.26953125,103200,14546.26953125
2014-04-24,14563.25,14367.1298828125,14563.25,14404.990234375,106300,14404.990234375
2014-04-25,14554.3203125,14327.599609375,14369.7197265625,14429.259765625,115000,14429.259765625
2014-04-28,14324.0302734375,14224.4697265625,14289.8203125,14288.23046875,97400,14288.23046875
2014-04-30,14421.2197265625,14275.6904296875,14393.509765625,14304.1103515625,125100,14304.1103515625
2014-05-01,14493.0302734375,14341.08984375,14341.08984375,14485.1298828125,129200,14485.1298828125
2014-05-02,14473.75,14405.76953125,14454.4404296875,14457.509765625,108600,14457.509765625
2014-05-07,14299.1298828125,14033.4501953125,14296.25,14033.4501953125,143200,14033.4501953125
2014-05-08,14254.4404296875,14108.16015625,14136.41015625,14163.7802734375,123000,14163.7802734375
2014-05-09,14266.2900390625,14091.2001953125,14101.98046875,14199.58984375,125300,14199.58984375
2014-05-12,14234.490234375,14130.2998046875,14173.490234375,14149.51953125,109200,14149.51953125
2014-05-13,14464.009765625,14359.740234375,14367.9404296875,14425.4404296875,129900,14425.4404296875
2014-05-14,14419.650390625,14349.8701171875,14385.599609375,14405.759765625,112700,14405.759765625
2014-05-15,14306.3603515625,14190.26953125,14280.509765625,14298.2099609375,132600,14298.2099609375
2014-05-16,14108.4404296875,14016.490234375,14087.759765625,14096.58984375,131300,14096.58984375
2014-05-19,14150.5,13991.7998046875,14130.08984375,14006.4404296875,114000,14006.4404296875
2014-05-20,14144.0400390625,14038.0595703125,14088.4501953125,14075.25,123100,14075.25
2014-05-21,14054.240234375,13964.4296875,13969.7099609375,14042.169921875,121700,14042.169921875
2014-05-22,14369.01953125,14147.5498046875,14188.2802734375,14337.7900390625,160300,14337.7900390625
2014-05-23,14528.0400390625,14404.7998046875,14411.099609375,14462.169921875,142400,14462.169921875
2014-05-26,14602.51953125,14531.3203125,14592.599609375,14602.51953125,106900,14602.51953125
2014-05-27,14744.16015625,14588.6796875,14589.7900390625,14636.51953125,129400,14636.51953125
2014-05-28,14717.2900390625,14608.5400390625,14646.9296875,14670.9501953125,120100,14670.9501953125
2014-05-29,14714.9501953125,14574.01953125,14585.6396484375,14681.7197265625,122000,14681.7197265625
2014-05-30,14741.099609375,14591.6201171875,14707.66015625,14632.3798828125,175300,14632.3798828125
2014-06-02,14963.91015625,14777.509765625,14777.509765625,14935.919921875,130600,14935.919921875
2014-06-03,15091.490234375,15026.009765625,15089.0400390625,15034.25,145900,15034.25
2014-06-04,15071.7802734375,14985.2099609375,15067.41015625,15067.9599609375,132000,15067.9599609375
2014-06-05,15141.1396484375,15016.8095703125,15112.58984375,15079.3701171875,127900,15079.3701171875
2014-06-06,15144.33984375,15042.58984375,15138.75,15077.240234375,134800,15077.240234375
2014-06-09,15206.5703125,15116.0302734375,15204.3095703125,15124.0,107300,15124.0
2014-06-10,15184.76953125,14966.7998046875,15130.740234375,14994.7998046875,121300,14994.7998046875
2014-06-11,15075.7197265625,14998.6298828125,15000.1298828125,15069.48046875,99500,15069.48046875
2014-06-12,14992.9599609375,14862.080078125,14942.150390625,14973.5302734375,132400,14973.5302734375
2014-06-13,15121.6396484375,14830.990234375,14830.990234375,15097.83984375,172200,15097.83984375
2014-06-16,15056.75,14867.150390625,15049.6103515625,14933.2900390625,116000,14933.2900390625
2014-06-17,15026.9599609375,14948.5400390625,14962.990234375,14975.9697265625,107400,14975.9697265625
2014-06-18,15139.990234375,14995.4501953125,15009.8896484375,15115.7998046875,118600,15115.7998046875
2014-06-19,15375.3798828125,15138.2802734375,15140.349609375,15361.16015625,189900,15361.16015625
2014-06-20,15422.0595703125,15305.4296875,15359.599609375,15349.419921875,190000,15349.419921875
2014-06-23,15442.669921875,15335.8798828125,15419.4697265625,15369.2802734375,120000,15369.2802734375
2014-06-24,15424.5703125,15252.26953125,15300.5,15376.240234375,122700,15376.240234375
2014-06-25,15347.8798828125,15265.7099609375,15297.240234375,15266.6103515625,108400,15266.6103515625
2014-06-26,15345.1201171875,15278.2197265625,15320.1298828125,15308.490234375,105400,15308.490234375
2014-06-27,15293.8203125,15027.3095703125,15290.75,15095.0,131000,15095.0
